variant_id,variant_label,model_id,scheme_id,scheme_source,fe_label,freq_coef_R1xday,freq_p_R1xday,freq_coef_AMC,freq_p_AMC,main_R1xday_posterior_mean,main_R1xday_crI_2_5,main_R1xday_crI_97_5,main_R1xday_prob_gt_0,main_AMC_posterior_mean,main_AMC_crI_2_5,main_AMC_crI_97_5,main_AMC_prob_gt_0,interaction_R1xday_x_AMC_posterior_mean,interaction_R1xday_x_AMC_crI_2_5,interaction_R1xday_x_AMC_crI_97_5,interaction_R1xday_x_AMC_prob_gt_0
province_only_additive,Province-only additive,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,0.1508246294759486,0.042609775295463,0.1310341033515701,0.0033854032562117,-0.009963212668590215,-0.05579037890017483,0.036283559232215434,0.33725,0.01672594274199625,-0.024670172165544634,0.05642045016266278,0.791,,,,
province_only_amplification,Province-only amplification,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,0.1508246294759486,0.042609775295463,0.1310341033515701,0.0033854032562117,-0.027792322507375063,-0.07700347380912853,0.022927233175095506,0.13725,0.023596149621496067,-0.018154972484992073,0.06512912927928637,0.874,0.03663892036737081,0.001734638509397334,0.073539028980403,0.98075
province_year_additive,Province + year additive,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,0.1508246294759486,0.042609775295463,0.1310341033515701,0.0033854032562117,-0.0012170677412088288,-0.03816629788774371,0.035736865519534616,0.48125,0.009409898593669202,-0.022747218586983923,0.0415133200281571,0.71925,,,,
province_year_amplification,Province + year amplification,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,0.1508246294759486,0.042609775295463,0.1310341033515701,0.0033854032562117,-0.010894296975029704,-0.048763549648838604,0.0272903013446436,0.29375,0.01327137601747953,-0.018751013001117804,0.04581320358387499,0.79425,0.020353264708765046,-0.008251463730812394,0.048668871006330175,0.91975
year_only_additive,Year-only additive,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,0.1508246294759486,0.042609775295463,0.1310341033515701,0.0033854032562117,0.11896078078609658,0.044160044949186496,0.19217566301821773,0.999,0.10589463261900832,0.04953127093416641,0.16369500118530037,1.0,,,,
year_only_amplification,Year-only amplification,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,0.1508246294759486,0.042609775295463,0.1310341033515701,0.0033854032562117,0.10615811104256515,0.028786898488772264,0.18395087576226615,0.99625,0.11165415488153128,0.0551215870912852,0.1682259018932311,1.0,0.030357699897604645,-0.025434785172883726,0.08664439312826676,0.8475
province_only_additive,Province-only additive,SYS_09556 | Province: No / Year: Yes,SYS_09556,systematic,Province: No / Year: Yes,0.1812432996167564,0.0218372297507352,0.1164206832956922,0.0054403730794863,0.0023325803923283633,-0.04614850188598053,0.05011898944844216,0.53425,0.016896535852641538,-0.024527728045466837,0.06129567200239423,0.79425,,,,
province_only_amplification,Province-only amplification,SYS_09556 | Province: No / Year: Yes,SYS_09556,systematic,Province: No / Year: Yes,0.1812432996167564,0.0218372297507352,0.1164206832956922,0.0054403730794863,-0.01706222484539886,-0.06899261776699976,0.03468597912892315,0.26775,0.023450201356666228,-0.019214706374358806,0.06562084317965954,0.8635,0.038344244672716396,0.0006566792655608056,0.0768678504542146,0.9775
province_year_additive,Province + year additive,SYS_09556 | Province: No / Year: Yes,SYS_09556,systematic,Province: No / Year: Yes,0.1812432996167564,0.0218372297507352,0.1164206832956922,0.0054403730794863,0.004870444200908798,-0.03334048424508872,0.04328868962341189,0.6005,0.009036989004301254,-0.022344240648322754,0.04048087422704854,0.71125,,,,
province_year_amplification,Province + year amplification,SYS_09556 | Province: No / Year: Yes,SYS_09556,systematic,Province: No / Year: Yes,0.1812432996167564,0.0218372297507352,0.1164206832956922,0.0054403730794863,-0.0025380766251938127,-0.04217483315231122,0.03770206827207718,0.45225,0.013010395639142984,-0.018850148123922054,0.046349819209294416,0.7785,0.017070673414339717,-0.011633660672277474,0.04456846264286056,0.87825
