term_id,variable,effect_scope,posterior_mean,posterior_sd,crI_2_5,crI_97_5,prob_gt_0,variant_id,variant_label,model_id,scheme_id,scheme_source,fe_label,freq_coef_R1xday,freq_p_R1xday,freq_coef_AMC,freq_p_AMC
main__GDP,GDP,main,-0.2414208702989491,0.05843835834900997,-0.35709342130093313,-0.12668768387771054,0.0,province_only_additive,Province-only additive,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,0.1508246294759486,0.042609775295463,0.1310341033515701,0.0033854032562117
main__GDP,GDP,main,-0.2414208702989491,0.05843835834900997,-0.35709342130093313,-0.12668768387771054,0.0,province_only_additive,Province-only additive,方案A_平衡主线组 | Province: Yes / Year: Yes,方案A_平衡主线组,curated,Province: Yes / Year: Yes,-0.0033076735002741,0.8506875682706379,0.0092846932124281,0.5169604958523597
main__PM2.5,PM2.5,main,0.11926899435100034,0.0281829912440701,0.06593226279242353,0.17500948098413874,1.0,province_only_additive,Province-only additive,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,0.1508246294759486,0.042609775295463,0.1310341033515701,0.0033854032562117
main__PM2.5,PM2.5,main,0.11926899435100034,0.0281829912440701,0.06593226279242353,0.17500948098413874,1.0,province_only_additive,Province-only additive,方案A_平衡主线组 | Province: Yes / Year: Yes,方案A_平衡主线组,curated,Province: Yes / Year: Yes,-0.0033076735002741,0.8506875682706379,0.0092846932124281,0.5169604958523597
main__R1xday,R1xday,main,-0.009963212668590215,0.02352116079952443,-0.05579037890017483,0.036283559232215434,0.33725,province_only_additive,Province-only additive,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,0.1508246294759486,0.042609775295463,0.1310341033515701,0.0033854032562117
main__R1xday,R1xday,main,-0.009963212668590215,0.02352116079952443,-0.05579037890017483,0.036283559232215434,0.33725,province_only_additive,Province-only additive,方案A_平衡主线组 | Province: Yes / Year: Yes,方案A_平衡主线组,curated,Province: Yes / Year: Yes,-0.0033076735002741,0.8506875682706379,0.0092846932124281,0.5169604958523597
main__人均日生活用水量(升),人均日生活用水量(升),main,-0.08425035967132188,0.051304801078240474,-0.1842270806876527,0.014249377923929558,0.054,province_only_additive,Province-only additive,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,0.1508246294759486,0.042609775295463,0.1310341033515701,0.0033854032562117
main__人均日生活用水量(升),人均日生活用水量(升),main,-0.08425035967132188,0.051304801078240474,-0.1842270806876527,0.014249377923929558,0.054,province_only_additive,Province-only additive,方案A_平衡主线组 | Province: Yes / Year: Yes,方案A_平衡主线组,curated,Province: Yes / Year: Yes,-0.0033076735002741,0.8506875682706379,0.0092846932124281,0.5169604958523597
main__抗菌药物使用强度,抗菌药物使用强度,main,0.01672594274199625,0.02081715647287613,-0.024670172165544634,0.05642045016266278,0.791,province_only_additive,Province-only additive,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,0.1508246294759486,0.042609775295463,0.1310341033515701,0.0033854032562117
main__抗菌药物使用强度,抗菌药物使用强度,main,0.01672594274199625,0.02081715647287613,-0.024670172165544634,0.05642045016266278,0.791,province_only_additive,Province-only additive,方案A_平衡主线组 | Province: Yes / Year: Yes,方案A_平衡主线组,curated,Province: Yes / Year: Yes,-0.0033076735002741,0.8506875682706379,0.0092846932124281,0.5169604958523597
main__文盲比例,文盲比例,main,0.1359897589279861,0.03332135071927013,0.07057326820583129,0.20023268835359045,1.0,province_only_additive,Province-only additive,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,0.1508246294759486,0.042609775295463,0.1310341033515701,0.0033854032562117
main__文盲比例,文盲比例,main,0.1359897589279861,0.03332135071927013,0.07057326820583129,0.20023268835359045,1.0,province_only_additive,Province-only additive,方案A_平衡主线组 | Province: Yes / Year: Yes,方案A_平衡主线组,curated,Province: Yes / Year: Yes,-0.0033076735002741,0.8506875682706379,0.0092846932124281,0.5169604958523597
main__牲畜饲养-猪年底头数,"牲畜饲养
-猪年底头数",main,0.15439131128567818,0.06617335678276078,0.024972399121035438,0.28392410821192793,0.99075,province_only_additive,Province-only additive,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,0.1508246294759486,0.042609775295463,0.1310341033515701,0.0033854032562117
main__牲畜饲养-猪年底头数,"牲畜饲养
-猪年底头数",main,0.15439131128567818,0.06617335678276078,0.024972399121035438,0.28392410821192793,0.99075,province_only_additive,Province-only additive,方案A_平衡主线组 | Province: Yes / Year: Yes,方案A_平衡主线组,curated,Province: Yes / Year: Yes,-0.0033076735002741,0.8506875682706379,0.0092846932124281,0.5169604958523597
main__省平均气温,省平均气温,main,0.21832806569945284,0.12373696559583339,-0.03195656762713316,0.45294912866384085,0.957,province_only_additive,Province-only additive,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,0.1508246294759486,0.042609775295463,0.1310341033515701,0.0033854032562117
main__省平均气温,省平均气温,main,0.21832806569945284,0.12373696559583339,-0.03195656762713316,0.45294912866384085,0.957,province_only_additive,Province-only additive,方案A_平衡主线组 | Province: Yes / Year: Yes,方案A_平衡主线组,curated,Province: Yes / Year: Yes,-0.0033076735002741,0.8506875682706379,0.0092846932124281,0.5169604958523597
interaction__R1xday×抗菌药物使用强度,R1xday × 抗菌药物使用强度,interaction,0.03663892036737081,0.018504404811419805,0.001734638509397334,0.073539028980403,0.98075,province_only_amplification,Province-only amplification,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,0.1508246294759486,0.042609775295463,0.1310341033515701,0.0033854032562117
interaction__R1xday×抗菌药物使用强度,R1xday × 抗菌药物使用强度,interaction,0.03663892036737081,0.018504404811419805,0.001734638509397334,0.073539028980403,0.98075,province_only_amplification,Province-only amplification,方案A_平衡主线组 | Province: Yes / Year: Yes,方案A_平衡主线组,curated,Province: Yes / Year: Yes,-0.0033076735002741,0.8506875682706379,0.0092846932124281,0.5169604958523597
main__GDP,GDP,main,-0.230255129175355,0.057140679458411364,-0.3436220868892084,-0.11878272042919785,0.0,province_only_amplification,Province-only amplification,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,0.1508246294759486,0.042609775295463,0.1310341033515701,0.0033854032562117
main__GDP,GDP,main,-0.230255129175355,0.057140679458411364,-0.3436220868892084,-0.11878272042919785,0.0,province_only_amplification,Province-only amplification,方案A_平衡主线组 | Province: Yes / Year: Yes,方案A_平衡主线组,curated,Province: Yes / Year: Yes,-0.0033076735002741,0.8506875682706379,0.0092846932124281,0.5169604958523597
main__PM2.5,PM2.5,main,0.11787735063551123,0.026855451497597292,0.0646476071882867,0.1704869389415066,1.0,province_only_amplification,Province-only amplification,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,0.1508246294759486,0.042609775295463,0.1310341033515701,0.0033854032562117
main__PM2.5,PM2.5,main,0.11787735063551123,0.026855451497597292,0.0646476071882867,0.1704869389415066,1.0,province_only_amplification,Province-only amplification,方案A_平衡主线组 | Province: Yes / Year: Yes,方案A_平衡主线组,curated,Province: Yes / Year: Yes,-0.0033076735002741,0.8506875682706379,0.0092846932124281,0.5169604958523597
main__R1xday,R1xday,main,-0.027792322507375063,0.025279620072302177,-0.07700347380912853,0.022927233175095506,0.13725,province_only_amplification,Province-only amplification,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,0.1508246294759486,0.042609775295463,0.1310341033515701,0.0033854032562117
main__R1xday,R1xday,main,-0.027792322507375063,0.025279620072302177,-0.07700347380912853,0.022927233175095506,0.13725,province_only_amplification,Province-only amplification,方案A_平衡主线组 | Province: Yes / Year: Yes,方案A_平衡主线组,curated,Province: Yes / Year: Yes,-0.0033076735002741,0.8506875682706379,0.0092846932124281,0.5169604958523597
main__人均日生活用水量(升),人均日生活用水量(升),main,-0.08424895148736454,0.05335763308114987,-0.18853096274146455,0.02131150131058803,0.05525,province_only_amplification,Province-only amplification,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,0.1508246294759486,0.042609775295463,0.1310341033515701,0.0033854032562117
main__人均日生活用水量(升),人均日生活用水量(升),main,-0.08424895148736454,0.05335763308114987,-0.18853096274146455,0.02131150131058803,0.05525,province_only_amplification,Province-only amplification,方案A_平衡主线组 | Province: Yes / Year: Yes,方案A_平衡主线组,curated,Province: Yes / Year: Yes,-0.0033076735002741,0.8506875682706379,0.0092846932124281,0.5169604958523597
main__抗菌药物使用强度,抗菌药物使用强度,main,0.023596149621496067,0.021001665410606538,-0.018154972484992073,0.06512912927928637,0.874,province_only_amplification,Province-only amplification,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,0.1508246294759486,0.042609775295463,0.1310341033515701,0.0033854032562117
main__抗菌药物使用强度,抗菌药物使用强度,main,0.023596149621496067,0.021001665410606538,-0.018154972484992073,0.06512912927928637,0.874,province_only_amplification,Province-only amplification,方案A_平衡主线组 | Province: Yes / Year: Yes,方案A_平衡主线组,curated,Province: Yes / Year: Yes,-0.0033076735002741,0.8506875682706379,0.0092846932124281,0.5169604958523597
main__文盲比例,文盲比例,main,0.13582251213621527,0.03360766656756624,0.068430116198902,0.20080878487746634,1.0,province_only_amplification,Province-only amplification,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,0.1508246294759486,0.042609775295463,0.1310341033515701,0.0033854032562117
main__文盲比例,文盲比例,main,0.13582251213621527,0.03360766656756624,0.068430116198902,0.20080878487746634,1.0,province_only_amplification,Province-only amplification,方案A_平衡主线组 | Province: Yes / Year: Yes,方案A_平衡主线组,curated,Province: Yes / Year: Yes,-0.0033076735002741,0.8506875682706379,0.0092846932124281,0.5169604958523597
main__牲畜饲养-猪年底头数,"牲畜饲养
-猪年底头数",main,0.1525377069207972,0.06570728539147402,0.029821496897999917,0.28066795927179755,0.9905,province_only_amplification,Province-only amplification,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,0.1508246294759486,0.042609775295463,0.1310341033515701,0.0033854032562117
main__牲畜饲养-猪年底头数,"牲畜饲养
-猪年底头数",main,0.1525377069207972,0.06570728539147402,0.029821496897999917,0.28066795927179755,0.9905,province_only_amplification,Province-only amplification,方案A_平衡主线组 | Province: Yes / Year: Yes,方案A_平衡主线组,curated,Province: Yes / Year: Yes,-0.0033076735002741,0.8506875682706379,0.0092846932124281,0.5169604958523597
main__省平均气温,省平均气温,main,0.23098390746580083,0.12355589627726657,-0.009306683963498987,0.47438472288780464,0.97,province_only_amplification,Province-only amplification,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,0.1508246294759486,0.042609775295463,0.1310341033515701,0.0033854032562117
main__省平均气温,省平均气温,main,0.23098390746580083,0.12355589627726657,-0.009306683963498987,0.47438472288780464,0.97,province_only_amplification,Province-only amplification,方案A_平衡主线组 | Province: Yes / Year: Yes,方案A_平衡主线组,curated,Province: Yes / Year: Yes,-0.0033076735002741,0.8506875682706379,0.0092846932124281,0.5169604958523597
main__GDP,GDP,main,0.025908635290161446,0.0489719232787107,-0.06956110974612023,0.12135279854600682,0.70825,province_year_additive,Province + year additive,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,0.1508246294759486,0.042609775295463,0.1310341033515701,0.0033854032562117
main__GDP,GDP,main,0.025908635290161446,0.0489719232787107,-0.06956110974612023,0.12135279854600682,0.70825,province_year_additive,Province + year additive,方案A_平衡主线组 | Province: Yes / Year: Yes,方案A_平衡主线组,curated,Province: Yes / Year: Yes,-0.0033076735002741,0.8506875682706379,0.0092846932124281,0.5169604958523597
main__PM2.5,PM2.5,main,0.010156223369021606,0.02299085571552854,-0.035860605619724734,0.054948790109339535,0.666,province_year_additive,Province + year additive,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,0.1508246294759486,0.042609775295463,0.1310341033515701,0.0033854032562117
main__PM2.5,PM2.5,main,0.010156223369021606,0.02299085571552854,-0.035860605619724734,0.054948790109339535,0.666,province_year_additive,Province + year additive,方案A_平衡主线组 | Province: Yes / Year: Yes,方案A_平衡主线组,curated,Province: Yes / Year: Yes,-0.0033076735002741,0.8506875682706379,0.0092846932124281,0.5169604958523597
main__R1xday,R1xday,main,-0.0012170677412088288,0.018727687110131817,-0.03816629788774371,0.035736865519534616,0.48125,province_year_additive,Province + year additive,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,0.1508246294759486,0.042609775295463,0.1310341033515701,0.0033854032562117
main__R1xday,R1xday,main,-0.0012170677412088288,0.018727687110131817,-0.03816629788774371,0.035736865519534616,0.48125,province_year_additive,Province + year additive,方案A_平衡主线组 | Province: Yes / Year: Yes,方案A_平衡主线组,curated,Province: Yes / Year: Yes,-0.0033076735002741,0.8506875682706379,0.0092846932124281,0.5169604958523597
main__人均日生活用水量(升),人均日生活用水量(升),main,0.00886530434088484,0.041607257434644114,-0.07289607227798876,0.0889809842159983,0.58225,province_year_additive,Province + year additive,方案A_平衡主线组 | Province: No / Year: Yes,方案A_平衡主线组,curated,Province: No / Year: Yes,0.1508246294759486,0.042609775295463,0.1310341033515701,0.0033854032562117
main__人均日生活用水量(升),人均日生活用水量(升),main,0.00886530434088484,0.041607257434644114,-0.07289607227798876,0.0889809842159983,0.58225,province_year_additive,Province + year additive,方案A_平衡主线组 | Province: Yes / Year: Yes,方案A_平衡主线组,curated,Province: Yes / Year: Yes,-0.0033076735002741,0.8506875682706379,0.0092846932124281,0.5169604958523597
